,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
2107,16500,15.21,60,2,342.97,14350,20.49,0
2108,6800,11.22,36,1,223.34,6800,18.68,0
2109,12000,10.2,36,2,388.34,12000,6.88,0
2110,15000,12.53,36,5,502,15000,0.13,1
2111,16000,19.47,36,14,590.35,16000,19.36,0
2112,2000,13.57,36,14,67.94,2000,19.25,1
2113,24000,20.89,60,1,647.8,24000,4.01,0
2114,12000,7.88,36,1,375.37,12000,6.67,0
2115,21000,16.32,36,1,741.59,21000,13.61,1
2116,25000,17.9,36,3,902.5,25000,4.93,0
2117,10000,15.95,36,1,351.33,10000,7.28,1
2118,15250,20.03,60,1,404.29,15250,22.6,0
2119,7125,11.71,36,1,235.67,7125,20.05,0
2120,6100,7.51,36,5,189.77,6100,0,1
2121,4000,9.91,36,1,128.9,4000,22.24,1
2122,6000,15.23,36,14,208.67,6000,16.74,0
2123,12000,13.11,36,1,404.97,12000,2.84,0
2124,1500,7.49,36,1,46.66,1500,27.35,1
2125,7500,12.68,60,2,169.43,7500,8.4,1
2126,11875,10.65,36,10,386.81,11875,19.13,0
2127,17500,18.64,60,2,450.51,17500,19.78,0
2128,4600,18.39,60,1,117.79,4600,5.92,0
2129,11000,8.49,36,1,347.2,11000,9.6,0
2130,7500,12.92,36,14,252.42,7500,17.54,0
2131,7000,8,36,10,219.36,7000,15.21,0
2132,3000,15.62,36,3,104.91,3000,1.49,0
2133,25000,9.64,36,1,802.47,25000,9.78,1
2134,18000,17.06,60,1,447.93,18000,14.5,1
2135,1600,12.61,36,1,53.62,1600,20,1
2136,21000,19.41,36,1,774.19,21000,7.88,1
2137,2000,6.76,36,11,61.54,2000,4.75,1
2138,25000,10.08,36,4,587.14,18175,4.51,1
2139,4000,10.75,60,14,86.48,4000,5.94,0
2140,20000,16,36,14,703.15,20000,0.6,0
2141,1500,7.49,36,2,46.66,1500,15.15,1
2142,10000,17.14,60,1,249.28,10000,16.04,1
2143,4000,6.39,36,13,122.4,4000,20.13,1
2144,5000,7.29,36,1,155.05,5000,8.46,1
2145,18000,21.97,60,1,496.84,18000,26.07,1
2146,18000,19.72,60,1,474.09,18000,17.87,1
2147,5000,9.62,36,7,160.45,5000,0.84,1
2148,9000,18.25,36,1,326.51,9000,11.49,0
2149,2000,14.61,36,12,68.96,2000,13.85,1
2150,14300,13.67,36,3,486.46,14300,19.29,0
2151,15000,12.04,36,1,498.51,15000,15.82,1
2152,7000,15.7,36,1,245.08,7000,4.97,0
2153,5000,9.63,36,2,160.47,5000,3.39,0
2154,13000,11.83,36,1,430.75,13000,13.2,1
2155,20000,13.12,36,1,162.01,4800,16.87,0
2156,7200,12.84,36,1,242.05,7200,13.17,1
2157,3000,11.71,36,1,99.23,3000,7.98,1
2158,2000,7.4,36,5,62.12,2000,4.53,1
2159,4000,11.14,36,1,131.22,4000,22.96,1
2160,1500,11.63,36,1,49.56,1500,11.76,1
2161,4500,6.03,36,2,136.96,4500,3.34,1
2162,4500,7.49,36,1,139.96,4500,11.6,0
2163,10000,13.48,36,12,339.25,10000,1.3,0
2164,20375,10.99,60,1,442.91,20375,16.43,0
2165,12000,16.89,60,3,297.53,12000,15.24,1
2166,5000,7.88,60,6,101.1,5000,0.81,1
2167,12375,12.99,60,1,281.51,12375,18.51,1
2168,11200,14.79,36,5,387.11,11200,16.58,0
2169,4900,10.96,36,14,113.71,3475,9.92,0
2170,10000,16.45,36,14,353.78,10000,16.97,0
2171,4200,15.2,60,6,100.36,4200,4.62,0
2172,12250,9.91,36,7,394.76,12250,23.68,0
2173,12000,7.88,36,5,375.38,12000,15.01,1
2174,5000,17.39,36,3,179.24,5000,23.19,0
2175,24925,12.69,36,2,836.11,24925,22.94,1
2176,10000,16.29,36,1,353.01,10000,12.58,0
2177,1600,15.21,36,1,55.63,1600,15.77,1
2178,8000,8.9,36,2,254.03,8000,10.52,1
2179,7950,6.03,36,2,241.97,7950,1.03,1
2180,4000,9.76,36,2,128.62,4000,17.04,1
2181,8000,10.51,36,1,260.06,8000,23.46,1
2182,25000,13.8,36,3,852.02,25000,2.87,1
2183,8000,9.62,60,7,168.49,8000,17.09,0
2184,2000,7.9,36,5,62.59,2000,9.78,1
2185,8400,13.61,60,4,193.76,8400,17.56,0
2186,22250,16.77,60,1,550.23,22250,24.93,0
2187,24000,11.83,36,1,795.22,24000,10.21,0
2188,5000,14.26,36,12,171.53,5000,12.18,1
2189,5000,12.17,36,3,166.48,5000,0,0
2190,16000,19.91,36,2,593.89,16000,4.69,1
2191,4750,14.72,36,1,164.01,4750,21.4,0
2192,6000,9.63,36,14,192.57,6000,9.49,1
2193,12500,11.26,36,2,410.8,12500,12.21,1
2194,25000,12.73,36,1,839.16,25000,10.62,1
2195,10000,13.87,36,1,341.15,10000,13.19,0
2196,13800,13.47,36,1,468.14,13800,13.98,0
2197,4800,15.65,60,4,115.84,4800,15.86,1
2198,7875,19.99,36,7,292.63,7875,9.31,0
2199,8800,10.74,36,1,287.02,8800,6.23,1
2200,14000,7.88,36,2,437.93,14000,0.74,1
2201,7600,12.61,36,1,254.65,7600,4.62,1
2202,25000,10.99,36,1,818.38,25000,18.51,0
2203,5000,6.03,36,4,152.18,5000,6.43,1
2204,1500,14.22,36,14,51.43,1500,24.44,0
2205,6400,15.99,36,14,224.98,6400,9.34,0
2206,6000,11.89,36,14,198.99,6000,19.38,0
2207,13500,10.83,36,1,440.89,13500,11.52,0
2208,7500,11.71,36,1,248.07,7500,10.72,1
2209,6225,9.76,36,1,200.17,6225,18.35,1
2210,8000,18.43,36,7,290.96,8000,9.86,0
2211,10000,10.2,36,1,323.62,10000,16.22,1
2212,12000,12.21,36,2,399.78,12000,23.69,1
2213,8000,6.62,36,2,245.63,8000,8.06,1
2214,20000,14.17,60,10,467.13,20000,0.44,1
2215,12000,13.43,60,1,275.69,12000,3.28,0
2216,5000,13.06,36,1,168.62,5000,6.78,0
2217,19900,11.83,36,1,659.37,19900,8.18,0
2218,5500,11.49,36,1,181.35,5500,12.82,1
2219,8000,15.27,36,3,278.39,8000,15.08,0
2220,13975,8.9,36,2,443.76,13975,17.06,1
2221,7500,11.49,36,5,247.29,7500,9.76,1
2222,6950,9.32,36,3,222.03,6950,23.24,1
2223,2500,13.57,36,1,84.93,2500,19.9,0
2224,10000,15.57,60,2,240.91,10000,15.45,0
2225,12000,7.9,60,1,242.75,12000,1.88,1
2226,8500,12.99,36,14,286.36,8500,10.06,0
2227,2000,10.75,36,14,65.25,2000,15.8,0
2228,3600,11.99,36,14,119.56,3600,15.49,1
2229,24250,20.62,60,1,453.6,16900,21.5,0
2230,5000,9.62,36,13,160.45,5000,12.19,0
2231,3500,7.68,36,12,109.17,3500,2.26,1
2232,7000,6.03,36,1,213.05,7000,10.38,1
2233,16000,16.07,36,1,563.11,16000,12.74,1
2234,10000,14.59,36,1,344.65,10000,9.51,0
2235,7650,19.29,36,2,281.55,7650,12.28,0
2236,3000,11.11,36,13,98.38,3000,1.81,0
2237,12000,13.11,36,2,404.94,12000,14.3,1
2238,8000,7.05,36,6,247.2,8000,7.92,1
2239,15000,12.41,36,3,501.16,15000,5.86,0
2240,10000,12.84,36,1,252.14,7500,21.36,1
2241,9500,15.33,36,1,330.87,9500,12,1
2242,24000,10.25,36,3,777.24,24000,0.59,0
2243,4000,6.39,36,3,122.4,4000,13.17,1
2244,10000,13.98,36,1,341.68,10000,12.53,0
2245,1000,16.32,36,1,35.32,1000,5.33,0
2246,2400,7.29,60,3,47.86,2400,1.26,1
2247,4200,13.48,36,5,142.49,4200,7.4,0
2248,25000,10.36,60,1,445.1,20775,15.78,0
2249,20000,11.49,60,1,439.76,20000,4.64,1
2250,4000,12.87,36,14,134.54,4000,13.8,0
2251,6000,12.61,36,1,201.04,6000,19.92,0
2252,4475,16.89,36,4,159.31,4475,9,0
2253,25000,15.58,60,3,502.4,20850,0.6,0
2254,12000,6.62,36,1,368.45,12000,2.05,1
2255,4000,12.12,36,4,133.09,4000,10.83,1
2256,13200,18.67,36,3,481.66,13200,22.8,0
2257,9700,14.65,36,1,334.6,9700,25.54,1
2258,15000,20.11,60,5,398.33,15000,4.58,1
2259,3800,13.11,36,5,128.24,3800,23.25,0
2260,8975,11.83,36,4,297.38,8975,20.65,1
2261,7500,15.31,36,14,261.12,7500,21.15,0
2262,24000,11.12,60,5,338.49,15525,11.99,1
2263,1200,19.29,36,14,44.17,1200,8.65,0
2264,11200,10.37,36,2,363.35,11200,19.49,1
2265,6000,14.26,36,1,205.84,6000,14.05,0
2266,9600,11.89,36,6,318.38,9600,21.15,1
2267,8000,15.37,36,6,278.77,8000,10.03,1
2268,3500,12.23,36,4,116.64,3500,10.2,1
2269,2750,9.33,36,14,87.88,2750,10.36,0
2270,15000,13.11,36,1,506.21,15000,14.26,0
2271,13000,10,36,2,419.48,13000,10.53,1
2272,1600,14.46,36,1,55.05,1600,4.58,0
2273,5600,14.59,36,1,193.01,5600,6.33,0
2274,24000,7.9,36,5,750.97,24000,15.23,1
2275,2600,12.12,36,1,86.51,2600,9.85,1
2276,19000,11.12,60,6,414.25,19000,1.75,0
2277,25975,13.49,60,11,391.08,17000,18.43,0
2278,10000,10.28,36,1,323.99,10000,14.4,1
2279,17000,16.49,60,2,417.85,17000,23.59,0
2280,12000,11.99,60,1,266.88,12000,19.07,0
2281,24000,9.88,36,1,773.07,24000,0.81,1
2282,24000,14.09,36,1,821.32,24000,11.92,1
2283,5200,6.62,36,6,159.66,5200,9.08,1
2284,15000,17.49,60,1,376.76,15000,18.58,1
2285,4800,12.99,36,1,161.71,4800,21.53,1
2286,6000,13.22,36,1,202.81,6000,15.36,0
2287,12250,14.83,60,1,290.34,12250,18.53,1
2288,5200,14.83,60,1,123.25,5200,3.34,0
2289,3000,11.34,36,6,98.7,3000,7.72,0
2290,5000,11.58,36,14,165.07,5000,19.96,1
2291,12000,12.68,36,1,402.49,12000,22.58,0
2292,5200,5.42,36,6,156.84,5200,1.18,1
2293,22000,14.17,60,2,513.85,22000,9.48,0
2294,10000,5.42,36,4,301.6,10000,8.88,1
2295,15600,12.53,36,1,522.08,15600,9.05,0
2296,6000,10.62,36,1,195.36,6000,6.38,0
2297,3000,13.85,36,1,102.32,3000,15.28,0
2298,7000,5.79,36,1,212.29,7000,11.08,0
2299,6000,15.8,36,1,210.36,6000,13.62,1
2300,13200,16.4,60,1,323.82,13200,21.19,1
2301,20000,11.71,36,1,661.52,20000,10.7,1
2302,12000,9.99,36,1,387.15,12000,14.5,1
2303,5000,16.32,36,1,176.57,5000,8.67,0
2304,16000,12.87,36,1,538.14,16000,10.42,0
2305,2400,11.03,36,1,78.61,2400,13.82,1
2306,24000,10.99,60,10,333.13,15325,9.22,1
2307,3000,13.92,36,3,102.42,3000,5.35,1
2308,3250,14.59,36,2,112.02,3250,24.6,1
2309,8000,7.51,36,5,248.88,8000,6.11,1
2310,5000,11.34,36,5,87.19,2650,17.25,1
2311,13000,17.14,60,4,324.07,13000,2.88,0
2312,12000,13.79,36,1,408.91,12000,18.64,0
2313,12000,10.91,36,14,163.49,5000,11.78,0
2314,20000,10.99,36,1,654.71,20000,10.19,1
2315,10500,16.29,36,1,370.66,10500,15,0
2316,10000,12.99,60,5,227.48,10000,13.14,0
2317,5000,8.9,36,1,158.77,5000,3,1
2318,30000,13.43,60,2,689.22,30000,25.67,0
2319,10000,16.77,60,3,247.3,10000,1,1
2320,13200,14.91,36,14,457.01,13200,15.36,0
2321,3600,13.8,60,1,83.4,3600,10.67,1
2322,2000,14.22,36,1,68.57,2000,17.79,0
2323,4800,7.14,36,1,148.52,4800,19.95,1
2324,14500,11.58,36,1,478.7,14500,21.7,0
2325,4350,6.03,36,2,132.4,4350,13.88,1
2326,20000,11.71,60,1,441.97,20000,18.33,1
2327,1500,13.92,36,14,51.21,1500,17.04,1
2328,18000,11.12,60,5,256.18,11750,1.33,0
2329,20000,17.04,36,3,713.49,20000,8.4,0
2330,12000,10.99,36,1,392.81,12000,9.92,1
2331,20000,13.92,36,14,682.74,20000,12.61,1
2332,20000,13.79,36,1,681.51,20000,14.94,0
2333,15000,13.99,36,5,512.6,15000,5.38,0
2334,6500,14.11,36,5,222.49,6500,11.59,0
2335,11000,12.68,36,1,368.95,11000,23.59,0
2336,14800,16.77,36,1,525.97,14800,16.76,0
2337,5500,7.51,36,1,171.11,5500,16.73,0
2338,8000,14.17,60,1,186.86,8000,11.31,1
2339,22350,14.07,36,5,764.64,22350,3.66,0
2340,15000,15.37,36,1,522.7,15000,18.12,0
2341,7500,11.26,36,7,246.48,7500,16.97,1
2342,7000,11.36,36,14,230.38,7000,7.95,1
2343,18000,15.21,60,1,287.41,12025,7.17,0
2344,6000,6.17,36,1,183,6000,3.3,1
2345,35000,12.99,60,1,495.34,21775,16.75,1
2346,5600,12.84,36,6,188.27,5600,2.08,0
2347,21725,19.29,60,1,567.04,21725,12.82,0
2348,4800,9.07,36,1,152.8,4800,14.6,1
2349,8500,14.11,36,5,290.95,8500,1,0
2350,10000,11.86,36,1,331.48,10000,21.13,0
2351,18800,21.28,60,1,511.57,18800,11.73,0
2352,8400,13.98,36,1,287.02,8400,14.4,0
2353,15000,8.88,36,2,476.16,15000,11.03,0
2354,4000,8.59,36,12,126.45,4000,9.45,1
2355,30000,22.78,60,1,841.93,30000,24.71,0
2356,1500,6.39,36,2,45.91,1500,2.38,1
2357,27575,17.58,60,5,693.94,27575,10.76,0
2358,1200,12.98,36,5,40.43,1200,17.75,0
2359,8000,14.65,36,4,275.96,8000,1,0
2360,15000,9.88,36,1,483.16,15000,6.76,1
2361,20000,9.45,36,5,640.2,20000,4.19,1
2362,14800,18.53,36,3,538.98,14800,1.58,0
2363,12875,14.65,36,3,444.12,12875,15.51,0
2364,7000,7.14,36,4,216.59,7000,12.57,1
2365,25000,9.99,36,2,495.23,15350,3.57,1
2366,8000,6.92,36,1,246.73,8000,4.13,1
2367,6500,7.14,36,4,201.12,6500,12.66,1
2368,22250,15.27,60,1,532.49,22250,23.07,1
2369,5000,6.91,36,2,154.18,5000,16.97,1
2370,5100,19.29,60,1,133.12,5100,0.83,0
2371,13000,15.7,36,1,455.15,13000,9.1,0
2372,9000,6.92,36,4,277.57,9000,0.42,1
2373,13000,12.23,60,2,290.7,13000,17.35,0
2374,5000,13.98,36,14,170.84,5000,19.54,1
2375,5000,14.84,36,14,172.94,5000,4.96,1
2376,24000,15.65,60,5,579.18,24000,4.67,0
2377,7000,14.11,36,2,239.61,7000,7.57,0
2378,25000,13.57,36,14,849.22,25000,9.3,1
2379,6000,12.53,36,12,200.8,6000,11.85,1
2380,2750,14.09,36,1,94.11,2750,21.93,0
2381,16000,13.06,36,1,539.57,16000,17.49,0
2382,5000,10.37,36,3,162.21,5000,15.23,0
2383,10375,8.9,60,1,214.87,10375,18.36,1
2384,8000,7.14,36,1,247.53,8000,20.86,0
2385,14400,15.27,36,1,501.09,14400,0.98,1
2386,10300,9.91,36,2,331.92,10300,15.85,1
2387,9600,15.28,60,1,229.8,9600,6.98,1
2388,10000,13.23,36,1,338.05,10000,11.63,0
2389,1750,8.94,36,1,55.61,1750,21.25,0
2390,25000,14.38,36,3,194.15,5650,2.4,1
2391,4200,12.84,36,6,141.2,4200,10.21,0
2392,12000,14.65,36,1,413.94,12000,9.02,1
2393,5600,12.69,36,3,187.86,5600,21.02,0
2394,32500,9.99,36,1,911.42,28250,19.51,1
2395,10000,6.91,36,2,214.31,6950,3.91,0
2396,10000,11.86,60,1,221.74,10000,19.6,0
2397,11000,8,36,1,344.7,11000,4.13,1
2398,25000,13.72,60,3,369.4,15975,21.1,0
2399,17000,17.74,36,3,612.36,17000,14.13,0
2400,15000,15.99,60,1,364.7,15000,19.79,0
2401,6000,9.99,36,1,193.58,6000,14.79,1
2402,13050,18.75,36,2,476.72,13050,10.29,1
2403,20000,17.39,36,3,716.95,20000,13.51,0
2404,12800,12.61,60,1,288.7,12800,9.02,0
2405,4025,16.29,36,1,142.09,4025,12.96,0
2406,5000,7.14,36,4,154.71,5000,10.54,0
2407,5000,12.23,36,2,166.63,5000,4.9,0
2408,9600,16.45,60,5,235.76,9600,12.12,0
2409,2500,12.99,60,14,56.87,2500,13.21,0
2410,13475,18.25,36,1,488.85,13475,17.85,0
2411,6000,8.94,36,2,190.63,6000,17.73,0
2412,1600,14.74,36,2,55.26,1600,18.12,1
2413,14000,12.18,36,4,466.2,14000,16.65,1
2414,3000,16.45,60,3,73.68,3000,9,0
2415,1000,14.72,36,10,34.53,1000,23.43,0
2416,2100,6.76,36,11,64.62,2100,18.68,1
2417,1200,14.26,36,14,41.17,1200,13.75,0
2418,2400,12.99,36,4,80.86,2400,6.4,1
2419,10000,8.94,36,1,317.72,10000,10.47,1
2420,15000,12.18,36,7,499.5,15000,0.01,0
2421,18000,8.38,36,14,567.22,18000,5.25,0
2422,20000,14.17,36,1,685.21,20000,19.95,0
2423,9600,9.2,36,2,306.18,9600,13.12,0
2424,10400,6.17,36,1,297.37,9750,17.67,1
2425,6000,12.42,36,4,200.5,6000,10.63,0
2426,10000,12.18,36,14,333,10000,24.56,0
2427,15000,15.65,36,1,524.8,15000,8.97,0
2428,15000,6.54,36,1,460.01,15000,6.26,0
2429,31200,17.99,60,1,792.11,31200,13.43,0
2430,12000,9.99,36,1,387.15,12000,9.42,1
2431,35000,12.69,60,1,790.82,35000,8.68,1
2432,9600,11.26,36,14,315.49,9600,23.52,0
2433,5000,11.89,36,12,165.82,5000,18.2,0
2434,12000,10,36,1,387.21,12000,21.57,0
2435,35000,21,60,1,946.87,35000,19.2,1
2436,15000,8.94,36,6,476.58,15000,6.21,1
2437,25000,19.79,36,1,926.37,25000,22.58,0
2438,10000,19.03,60,11,259.58,10000,23.12,0
2439,25000,13.35,60,2,573.32,25000,15.55,0
2440,5175,12.18,36,1,172.33,5175,13.12,0
2441,14825,6.62,36,4,455.19,14825,17.26,0
2442,6075,10.38,60,1,130.22,6075,3.89,0
2443,35000,13.49,60,14,805.17,35000,17.92,0
2444,7500,8,36,14,235.03,7500,7.17,1
2445,16000,8.88,36,5,400.77,12625,6.21,1
2446,12000,11.36,36,1,286.32,8700,13.75,0
2447,12000,9.63,36,2,385.13,12000,12.72,1
2448,2800,6.76,36,4,86.15,2800,4.08,1
2449,5000,7.9,36,1,156.46,5000,19.17,1
2450,20000,21.28,60,2,544.23,20000,17,0
2451,5750,9.45,36,2,184.06,5750,14.56,1
2452,12800,14.35,36,2,439.66,12800,19.11,1
2453,14125,17.27,36,3,505.5,14125,22.09,0
2454,7000,12.41,36,2,233.88,7000,7.88,1
2455,24000,10.37,60,1,514.31,24000,11.68,0
2456,5500,8.88,36,6,174.6,5500,9.76,1
2457,25000,19.04,36,1,916.91,25000,9.84,0
2458,9000,6.91,36,5,277.53,9000,2.37,0
2459,7000,13.11,36,4,236.23,7000,13.9,1
2460,35000,16.4,60,7,858.59,35000,8.64,0
2461,8000,17.27,36,14,286.3,8000,24.33,0
2462,20000,13.92,36,1,682.74,20000,15.02,1
2463,5000,10.74,36,6,163.08,5000,23.36,1
2464,8000,19.29,60,14,208.81,8000,20.98,0
2465,20000,15.65,36,3,699.73,20000,3.6,0
2466,3000,17.19,60,5,74.87,3000,0,0
2467,6000,14.11,36,1,205.38,6000,14.67,0
2468,8000,14.96,36,1,277.16,8000,8.91,1
2469,5000,16.45,60,1,122.79,5000,16.88,1
2470,18000,11.26,36,1,591.54,18000,10.93,0
2471,10000,10.71,36,14,163.01,5000,12.48,0
2472,18000,12.17,36,1,599.33,18000,18.3,1
2473,9250,12.61,60,14,208.63,9250,18.65,0
2474,5600,13.35,60,7,128.43,5600,18.8,0
2475,3000,11.26,36,6,98.59,3000,17.21,1
2476,6000,11.49,60,6,131.93,6000,3.17,1
2477,2500,12.23,36,10,83.32,2500,12.48,0
2478,12000,16.32,60,1,293.87,12000,19.52,0
2479,7750,16.07,36,1,272.76,7750,21.14,0
2480,5000,7.88,36,5,156.41,5000,1,1
2481,14000,16.02,36,1,492.34,14000,18.28,1
2482,4000,11.89,36,12,132.66,4000,19.76,0
2483,20000,11.58,36,1,247.61,7500,14.52,1
2484,8000,11.49,60,1,175.91,8000,16.41,0
2485,4000,13.11,36,14,134.99,4000,27.46,0
2486,16000,15.27,60,3,382.92,16000,13.92,0
2487,15000,10.75,36,1,489.31,15000,13.37,1
2488,3200,10.99,36,4,104.75,3200,24.06,0
2489,35000,22.45,60,1,975.64,35000,16.85,0
2490,30000,13.11,60,8,684.29,30000,7.7,0
2491,8825,15.7,36,5,308.96,8825,10.56,1
2492,16000,15.99,60,1,389.01,16000,19.15,1
2493,11200,6.03,36,1,340.88,11200,14.77,1
2494,20000,16.35,36,3,706.59,20000,2.87,1
2495,25000,16.32,36,2,882.84,25000,14.67,1
2496,4000,7.51,60,10,80.18,4000,10.66,1
2497,17000,11.48,36,1,560.47,17000,21.53,1
2498,3500,10.75,36,5,114.18,3500,7.72,1
2499,3500,9.76,36,1,112.55,3500,24.57,1
2500,6000,9.76,36,1,192.93,6000,13.11,1
2501,9000,10.83,36,1,293.93,9000,12.3,1
2502,35000,20.3,60,5,933.14,35000,8.22,1
2503,2050,8.88,36,11,65.08,2050,17.16,0
2504,35000,8.9,36,3,1111.37,35000,4.52,1
2505,5200,11.86,36,1,172.37,5200,17.5,0
2506,14000,6.03,36,2,426.1,14000,11.19,1
2507,35000,17.27,36,4,1252.56,35000,10.95,1
2508,25000,14.38,36,3,859.07,25000,20.79,0
2509,20000,12.84,36,1,672.36,20000,19.12,0
2510,2000,12.61,36,1,67.02,2000,6.4,1
2511,12800,20.5,36,8,478.97,12800,14.61,0
2512,14000,13.22,36,1,473.21,14000,9.19,1
2513,20000,13.49,60,1,460.1,20000,11.07,1
2514,6800,11.59,36,1,224.53,6800,11.91,1
2515,9000,13.49,36,1,305.38,9000,10.08,0
2516,7750,12.21,36,2,258.2,7750,17.78,0
2517,18250,16.32,60,1,446.92,18250,23.19,0
2518,25000,19.69,60,5,658.05,25000,10.53,1
2519,16100,19.72,60,6,424.05,16100,12.31,1
2520,9200,5.79,36,1,172.87,5700,13.05,1
2521,2000,5.42,36,4,60.32,2000,6.1,0
2522,12000,11.36,36,1,394.94,12000,8.42,1
2523,15000,16.32,36,3,529.71,15000,17.44,0
2524,20000,13.43,36,2,678.08,20000,10.15,0
2525,20500,20.9,36,1,771.28,20500,24.52,0
2526,10000,9.63,36,14,320.95,10000,24.57,0
2527,5000,6.17,36,3,152.5,5000,21.9,0
2528,12000,16.29,36,2,423.61,12000,17.48,1
2529,20000,15.28,60,1,478.75,20000,11.32,1
2530,11450,15.31,36,2,398.66,11450,22.43,0
2531,5000,12.61,36,14,167.54,5000,8.8,1
2532,27600,18.39,60,14,706.73,27600,13.65,1
2533,8000,10.59,36,1,260.36,8000,16.41,0
2534,14500,9.99,60,1,204.99,9650,18.17,0
2535,3000,6.54,60,13,58.76,3000,6.34,0
2536,24000,6.91,36,5,478.73,15525,5.05,1
2537,8500,13.16,36,1,287.05,8500,12.27,0
2538,10000,13.48,36,5,339.25,10000,6.52,0
2539,16000,11.89,36,10,530.63,16000,3.06,0
2540,9475,8.94,36,1,301.04,9475,7.07,1
2541,19000,16.69,60,1,295.01,11950,19.97,1
2542,12000,11.14,36,7,393.65,12000,7.82,0
2543,7500,16.4,60,1,183.99,7500,14.23,0
2544,10000,15.95,60,14,242.92,10000,14.41,0
2545,20000,23.91,60,1,574.32,20000,9.47,1
2546,5000,11.49,36,1,164.86,5000,10.2,1
2547,12000,15.96,36,6,421.65,12000,20.88,0
2548,4000,10.37,36,1,129.77,4000,15.58,0
2549,22000,13.49,60,1,506.11,22000,18.14,0
2550,10000,8,36,14,70.51,2250,12.55,0
2551,15000,12.53,36,5,502,15000,13.78,1
2552,3600,7.88,60,1,72.79,3600,16.81,1
2553,15000,15.21,36,1,521.53,15000,18.73,0
2554,18000,18.79,60,4,464.86,18000,4.32,0
2555,4800,11.54,36,1,158.38,4800,18.19,1
2556,10000,12.69,36,1,335.45,10000,9.67,1
2557,14800,19.42,36,1,545.66,14800,20.76,1
2558,30000,19.74,60,1,790.49,30000,21.6,1
2559,5875,6.17,36,1,179.19,5875,1.85,1
2560,10000,10.36,60,2,201.93,9425,7.38,0
2561,7200,14.96,60,1,171.14,7200,14.84,0
2562,5000,12.53,36,1,167.34,5000,12.06,1
2563,14000,13.92,36,1,477.92,14000,15,0
2564,12000,14.26,36,1,411.67,12000,14.55,1
2565,14500,12.12,36,2,482.44,14500,15.86,1
2566,12000,14.84,36,1,415.05,12000,3.1,1
2567,5800,12.12,36,1,192.98,5800,19.82,0
2568,25000,10.36,36,1,501.96,15475,11.55,0
2569,35000,15.99,60,5,850.95,35000,5.54,0
2570,1500,6.99,36,4,46.31,1500,24.4,1
2571,3200,15.23,36,1,111.29,3200,18.43,1
2572,3200,9.91,60,5,67.85,3200,12.44,0
2573,10000,7.51,36,14,311.1,10000,5.59,1
2574,8000,12.68,36,1,268.33,8000,3.2,0
2575,7000,15.57,60,1,168.64,7000,20.28,1
2576,16000,16.32,60,1,391.82,16000,23.48,0
2577,25000,15.57,36,1,873.63,25000,23.78,1
2578,20000,17.74,36,1,720.42,20000,23.17,1
2579,21250,6.91,36,2,655.27,21250,24.56,1
2580,25000,21.74,60,3,445.04,16200,14.97,0
2581,10000,10.51,36,1,325.08,10000,22.63,1
2582,24000,17.8,36,1,865.26,24000,5.41,0
2583,12000,10.99,36,1,392.83,12000,22.97,1
2584,1500,14.74,36,14,51.81,1500,1.04,0
2585,20800,12.21,36,2,692.95,20800,16.94,1
2586,6000,11.86,36,3,198.89,6000,14.22,0
2587,10000,15.31,36,14,348.16,10000,14.31,0
2588,1000,16.69,36,2,35.5,1000,15.67,0
2589,10000,13.99,36,1,341.73,10000,21.22,0
2590,12000,11.66,36,1,170.22,5150,17.69,0
2591,25000,10.25,36,5,809.62,25000,2.05,1
2592,5800,18.25,36,10,210.42,5800,19.5,1
2593,5000,9.32,36,3,159.74,5000,17.57,1
2594,4500,7.88,60,4,90.99,4500,2.68,1
2595,9000,15.21,60,1,215.11,9000,14.59,0
2596,8600,16.02,36,1,302.44,8600,16.13,1
2597,5000,13.23,36,3,169.03,5000,5.66,0
2598,1000,11.28,36,14,32.88,1000,14.02,0
2599,7000,15.99,36,4,246.07,7000,12.28,0
2600,20000,13.67,36,1,680.36,20000,16.79,1
2601,8000,14.35,36,14,274.79,8000,4.65,1
2602,5200,13.48,36,14,176.41,5200,14.74,1
2603,18000,15.23,60,1,430.4,18000,13.08,0
2604,10000,11.89,36,5,331.64,10000,18.83,0
2605,20000,12.21,36,1,666.3,20000,14.63,0
2606,7000,13.16,36,1,236.4,7000,5.83,1
2607,15000,9.99,36,1,483.94,15000,9.13,0
2608,8400,15.99,60,5,204.23,8400,20.92,0
2609,7800,8.94,36,1,247.82,7800,12.95,1
2610,17000,11.99,36,1,564.57,17000,11.56,0
2611,1000,13.49,60,14,23.01,1000,9.88,0
2612,4000,9.99,36,14,129.05,4000,24.14,0
2613,20000,13.61,60,1,461.34,20000,7.04,0
2614,10000,12.18,36,14,333,10000,18.22,1
2615,9600,5.99,36,1,292.01,9600,8.03,0
2616,4000,15.99,36,5,140.61,4000,4.6,0
2617,20000,10.25,36,1,647.7,20000,8.72,0
2618,15000,15.58,60,1,361.44,15000,21.47,0
2619,8500,15.7,36,14,297.58,8500,24.91,1
2620,6000,10.74,36,1,195.7,6000,8.89,1
2621,25000,14.83,36,2,864.56,25000,14.45,1
2622,5100,15.99,60,5,124,5100,12.26,0
2623,1000,13.48,36,4,33.93,1000,10.34,1
