,Amount_Requested,Interest_Rate_Percentage,Loan_Length_in_Months,Loan_Purpose,Monthly_PAYMENT,Total_Amount_Funded,Debt_To_Income_Ratio_Percentage,Status
953,5000,13.61,36,3,169.95,5000,16.32,1
954,1500,8,36,14,47.01,1500,14.73,0
955,15000,14.26,36,1,514.59,15000,8.94,1
956,16800,16.89,60,1,416.54,16800,10.85,0
957,9000,12.23,60,3,201.25,9000,24.89,0
958,9600,17.27,36,1,343.56,9600,16.42,0
959,4000,15.62,36,1,139.88,4000,10.82,0
960,26400,18.39,60,1,676.01,26400,12.28,1
961,16500,11.71,36,2,545.76,16500,11.05,0
962,14000,12.61,60,1,190.59,8450,13.88,0
963,3825,15.96,36,1,134.41,3825,23.54,0
964,16800,15.62,36,1,587.5,16800,19.03,1
965,9000,11.58,36,1,297.13,9000,14.03,0
966,2400,12.61,60,9,54.13,2400,12.5,0
967,9450,10.37,36,5,306.57,9450,16.69,0
968,16300,17.27,60,1,407.47,16300,9.48,1
969,19500,13.49,60,5,448.6,19500,16.9,0
970,6000,10.99,36,1,196.41,6000,6.21,1
971,18000,11.83,36,2,596.41,18000,12.92,1
972,20000,14.42,36,4,687.66,20000,16.97,1
973,10000,7.75,36,4,312.22,10000,0,0
974,6000,9.76,36,1,192.93,6000,5.43,1
975,8000,14.96,36,7,277.16,8000,6.65,1
976,28000,21.74,60,1,769.2,28000,9.81,0
977,7200,20.5,60,1,192.77,7200,16.28,1
978,10000,6.92,36,3,308.41,10000,7.8,0
979,12000,9.99,60,1,161.45,7600,19.16,0
980,12000,15.65,60,14,289.59,12000,9.39,0
981,15000,15.95,60,3,364.38,15000,6.17,0
982,6000,10.46,36,6,194.91,6000,5.06,1
983,22250,12.12,36,10,740.3,22250,26.92,0
984,5000,12.73,36,14,167.84,5000,15.76,0
985,9000,12.21,36,8,299.84,9000,12.27,0
986,20000,13.11,36,3,674.9,20000,9.21,0
987,3450,9.99,60,14,73.29,3450,11.81,0
988,9000,12.87,36,1,302.7,9000,4.43,1
989,5600,8.59,36,7,177.02,5600,12.15,0
990,30000,19.69,60,1,789.66,30000,21.91,1
991,1375,11.11,36,1,45.09,1375,2.1,0
992,14000,16.32,60,2,342.84,14000,9.7,1
993,16750,14.96,36,14,580.33,16750,2.8,1
994,10000,13.24,36,1,338.1,10000,18.2,1
995,16400,13.79,36,3,558.84,16400,17.43,1
996,13000,17.51,60,1,326.66,13000,21.74,0
997,9600,17.49,60,1,241.13,9600,13.77,0
998,5400,8.94,36,1,171.57,5400,10.48,1
999,35000,19.03,60,1,908.5,35000,16.94,0
1000,7500,12.12,36,1,249.54,7500,10.37,1
1001,15000,15.68,36,1,525.03,15000,22.16,0
1002,8500,6.17,36,1,259.25,8500,22.9,0
1003,8000,15.58,36,1,279.61,8000,12.01,0
1004,2500,12.18,36,14,83.25,2500,22.41,0
1005,20000,10.59,60,3,430.78,20000,8.7,0
1006,12000,15.68,36,3,420.02,12000,17.57,1
1007,4800,11.09,36,1,157.36,4800,11.37,1
1008,5000,11.83,36,4,165.67,5000,5.66,0
1009,32775,18.39,60,1,514.69,20100,16.41,0
1010,7500,11.03,36,1,166.23,5075,17.37,1
1011,4800,14.35,36,6,164.87,4800,13.8,1
1012,5775,9.63,36,10,185.35,5775,7.15,0
1013,5000,11.86,36,5,165.74,5000,9.3,0
1014,10000,11.46,36,3,329.57,10000,21.69,1
1015,6500,7.74,36,1,202.93,6500,18,1
1016,4800,8.49,36,14,151.51,4800,22.77,0
1017,5000,12.73,36,4,167.84,5000,1.53,0
1018,17500,14.96,60,1,415.96,17500,16.6,0
1019,5000,11.86,36,1,165.74,5000,7.02,0
1020,25000,17.56,36,5,898.31,25000,14,0
1021,6600,7.49,36,1,205.28,6600,19.55,1
1022,25000,15.21,60,2,394.96,16525,10.53,0
1023,25000,14.79,60,2,592,25000,16.84,1
1024,3000,12.84,36,11,100.86,3000,4.89,0
1025,9600,10.75,60,1,207.54,9600,10.06,0
1026,14000,17.49,60,1,351.64,14000,5.93,0
1027,35000,22.35,60,1,973.64,35000,18.41,0
1028,10000,14.11,36,1,342.29,10000,21.32,0
1029,3000,12.68,36,2,100.63,3000,3.05,0
1030,5000,12.12,36,1,166.36,5000,14.92,1
1031,21000,16.89,60,14,520.67,21000,20.47,0
